Coaster_Name,Length,Speed,Location,Status,Manufacturer,Height_Restriction,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,speed_mph,height_ft,Inversions,Gforce
InvadR,"2,118 ft (646 m)",48 mph (77 km/h),Busch Gardens Williamsburg,Operating,Great Coasters International,117,2017,37.2325,-76.6486,Wood,2017-04-07,48.0,,0,
Lech Coaster,"908 m (2,979 ft)",95 km/h (59 mph),Legendia,Operating,Vekoma,120,2017,,,Steel,2017-07-01,59.0,131.2,3,
Mine Blower,"2,290 ft (700 m)",48.5 mph (78.1 km/h),Fun Spot America (Kissimmee),Operating,The Gravity Group,122,2017,,,Wood,2017-06-23,48.5,,1,
Mystic Timbers,"3,265 ft (995 m)",53 mph (85 km/h),Kings Island,Operating,Great Coasters International,122,2017,,,Wood,2017-04-15,53.0,,0,
Patriot (California's Great America),"1,920 ft (590 m)",45 mph (72 km/h),California's Great America,Operating,Bolliger & Mabillard,137,2017,37.3967,-121.9732,Steel,1991-03-09,45.0,,2,
Pégase Express,"3,044.6 ft (928.0 m)",32.3 mph (52.0 km/h),Parc Astérix,Operating,Gerstlauer,100,2017,49.1336,2.5737,Steel,2017-06-11,32.3,,0,
Red Force (roller coaster),"880 m (2,890 ft)",180 km/h (112 mph),Ferrari Land,Operating,Intamin,140,2017,,,Steel,2017-04-07,111.8,367.5,0,
Star Trek: Operation Enterprise,"720 m (2,360 ft)",90 km/h (56 mph),Movie Park Germany,Operating,Mack Rides,130,2017,51.6223,6.9729,Steel,2017-06-14,55.9,131.2,3,
Star Wars Hyperspace Mountain,"3,281 ft (1,000 m)",44 mph (71 km/h),Disneyland Park (Paris),Operating,Vekoma,120,2017,48.8741,2.7793,Steel,2017-05-07,44.0,,3,
The Joker (Six Flags Great America),"1,019 ft (311 m)",38 mph (61 km/h),Other,,S&S – Sansei Technologies,122,2017,,,Steel,,38.0,,6,
The Joker (Six Flags New England),"1,019 ft (311 m)",38 mph (61 km/h),Other,,S&S – Sansei Technologies,122,2017,,,Steel,,38.0,,6,
The Joker (Six Flags Over Texas),"1,019 ft (311 m)",38 mph (61 km/h),Other,,S&S – Sansei Technologies,122,2017,,,Steel,,38.0,,6,
Wave Breaker: The Rescue Coaster,"2,600 ft (790 m)",44 mph (71 km/h),SeaWorld San Antonio,Operating,Intamin,122,2017,29.4553,-98.6961,Steel,2017-06-16,44.0,,0,
Adrenaline Peak,"1,050 ft (320 m)",45 mph (72 km/h),Oaks Amusement Park,Operating,Gerstlauer,122,2018,45.4716,-122.6623,Steel,2018-03-24,45.0,,3,
Electric Eel (roller coaster),863 ft (263 m),62 mph (100 km/h),SeaWorld San Diego,Operating,Premier Rides,137,2018,32.765,-117.224,Steel,2018-05-10,62.0,,1,
Fēnix (roller coaster),"2,667 ft (813 m)",59 mph (95 km/h),Toverland,Operating,Bolliger & Mabillard,132,2018,51.3997,5.985,Steel,2018-07-07,59.0,,3,5.0
HangTime (roller coaster),"2,198 ft (670 m)",57 mph (92 km/h),Knott's Berry Farm,Operating,Gerstlauer,122,2018,33.8448,-118.0015,Steel,2018-05-18,57.0,,5,
Hyperion (roller coaster),"1,450 m (4,760 ft)",142 km/h (88 mph),Energylandia,Operating,Intamin,140,2018,,,Steel,2018-07-14,88.2,252.6,1,4.8
Icon (roller coaster),"3,750 ft (1,140 m)",52.8 mph (85.0 km/h),Blackpool Pleasure Beach,Operating,Mack Rides,130,2018,53.7903,-3.0556,Steel,2018-05-25,52.8,,1,4.3
Merlin's Mayhem,"1,300 ft (400 m)",,Dutch Wonderland,Operating,S&S – Sansei Technologies,0,2018,40.0287,-76.2186,Steel,2018-04-28,,,0,
RailBlazer,"1,800 ft (550 m)",52 mph (84 km/h),California's Great America,Operating,Rocky Mountain Construction,122,2018,37.3951,-121.9737,Steel,2018-06-14,52.0,,3,
Slinky Dog Dash,,40 mph (64 km/h),Disney's Hollywood Studios,Operating,Mack Rides,0,2018,28.3594,-81.5607,Steel,2018-06-30,40.0,,0,
Steel Vengeance,"5,740 ft (1,750 m)",74 mph (119 km/h),Cedar Point,Operating,Rocky Mountain Construction,132,2018,41.4862,-82.6933,Steel,2018-05-05,74.0,,4,
Tantrum (roller coaster),"1,246.7 ft (380.0 m)",52.8 mph (85.0 km/h),Six Flags Darien Lake,Operating,Gerstlauer,122,2018,42.9294,-78.3849,Steel,2018-05-25,52.8,,3,
Tiki-Waka (roller coaster),"1,850.4 ft (564.0 m)",34.2 mph (55.0 km/h),Walibi Belgium,Operating,Gerstlauer,100,2018,50.6971,4.5871,Steel,2018-04-07,34.2,,0,
Time Traveler (roller coaster),"3,020 ft (920 m)",50.3 mph (81.0 km/h),Silver Dollar City,Operating,Mack Rides,130,2018,36.669,-93.3377,Steel,2018-03-14,50.3,,3,
Twisted Timbers,"3,351 ft (1,021 m)",54 mph (87 km/h),Kings Dominion,Operating,Rocky Mountain Construction,122,2018,,,Steel,2018-03-24,54.0,,3,
Valkyria (roller coaster),"2,296.6 ft (700.0 m)",65.2 mph (104.9 km/h),Liseberg,Operating,Bolliger & Mabillard,132,2018,57.6932,11.9953,Steel,2018-08-10,65.2,,3,
Wicker Man (roller coaster),"2,608.3 ft (795.0 m)",43.6 mph (70.2 km/h),Alton Towers,Operating,Great Coasters International,120,2018,52.9889,-1.8886,Wood,2018-03-20,43.6,,0,
Wonder Woman Coaster,"1,019 ft (311 m)",38 mph (61 km/h),Six Flags Mexico,Operating,S&S – Sansei Technologies,122,2018,19.2935,-99.2058,Steel,2018-06-01,38.0,,6,
Wonder Woman Golden Lasso Coaster,"1,800 ft (550 m)",52 mph (84 km/h),Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,122,2018,29.5951,-98.6085,Steel,2018-05-12,52.0,,3,
Copperhead Strike,"3,255 ft (992 m)",50 mph (80 km/h),Carowinds,Operating,Mack Rides GmbH & Co KG,132,2019,35.1011,-80.9426,Steel,2019-03-23,50.0,,5,
Desmo Race,"1,722.4 ft (525.0 m)",49.7 mph (80.0 km/h),Other,Operating,Maurer AG,0,2019,44.3389,12.2636,Steel,2019-07-25,49.7,,0,1.2
Dragonflier,"1,486.2 ft (453.0 m)",46.6 mph (75.0 km/h),Dollywood,Operating,Vekoma,0,2019,35.7977,-83.5312,Steel,2019-05-10,46.6,,0,3.5
Dynamite (Freizeitpark Plohn),"500 m (1,600 ft)",100 km/h (62 mph),Freizeitpark Plohn,,Mack Rides,0,2019,,,Steel,2019-05-18,62.1,144.4,3,
Fury (roller coaster),"600 m (2,000 ft)",106.6 km/h (66.2 mph),Bobbejaanland,Operating,Gerstlauer,130,2019,51.1993,4.909,Steel,2019-06-24,66.2,141.1,2,
Hagrid's Magical Creatures Motorbike Adventure,"5,053 ft (1,540 m)",50 mph (80 km/h),Universal's Islands of Adventure,Operating,Intamin,122,2019,28.4298,-81.5859,Steel,2019-06-13,50.0,,0,
Hurricane (Fun Spot America),,,"Orlando, FloridaKissimmee, FloridaFayetteville, GeorgiaUnited States",Operating,,0,2019,28.3303,-81.5147,Other,,,,0,
Kentucky Flyer,"1,288 ft (393 m)",35 mph (56 km/h),Kentucky Kingdom,Operating,Gravitykraft Corporation,102,2019,38.1943,-85.7443,Wood,2019-04-28,35.0,,0,
Maxx Force,"1,800 ft (550 m)",78 mph (126 km/h),Six Flags Great America,Operating,S&S - Sansei Technologies,122,2019,,,Steel,2019-07-04,78.0,,5,4.5
Mystic (roller coaster),,52.8 mph (85.0 km/h),Walibi Rhône-Alpes,Operating,Gerstlauer,130,2019,45.62,5.5715,Steel,2019-05-30,52.8,,3,
Nickelodeon Slime Streak,"1,263 ft (385 m)",37 mph (60 km/h),Nickelodeon Universe,Operating,Chance Rides,107,2019,40.8061,-74.0706,Steel,2019-10-25,37.0,,0,2.5
Panic Coaster – Back Daaan,767.7 ft (234.0 m),18.6 mph (29.9 km/h),Tokyo Dome City Attractions,Operating,Gerstlauer,100,2019,,,Steel,2019-03-23,18.6,,0,
Runaway Tram,921.9 ft (281.0 m),28.6 mph (46.0 km/h),Morey's Piers,Operating,Zierer,102,2019,38.9894,-74.8034,Steel,2019-08-09,28.6,,0,
Steel Curtain (roller coaster),"4,000 ft (1,200 m)",75 mph (121 km/h),Kennywood,Operating,S&S - Sansei Technologies,132,2019,40.3892,-79.8665,Steel,2019-07-13,75.0,,9,
Taiga (roller coaster),"3,622 ft (1,104 m)",65.9 mph (106.1 km/h),Linnanmäki,Operating,Intamin,140,2019,60.1885,24.9391,Steel,2019-06-18,65.9,,4,5.0
Tigris (roller coaster),863 ft (263 m),62 mph (100 km/h),Busch Gardens Tampa,Operating,Premier Rides,137,2019,28.0379,-82.4249,Steel,2019-04-19,62.0,,1,
TMNT Shellraiser,"3,280.8 ft (1,000.0 m)",62.1 mph (99.9 km/h),Nickelodeon Universe,Operating,Gerstlauer,122,2019,40.8066,-74.0712,Steel,2019-10-25,62.1,,7,
Yukon Striker,"1,105 m (3,625 ft)",130 km/h (81 mph),Canada's Wonderland,Operating,Bolliger & Mabillard,132,2019,43.8402,-79.543,Steel,2019-05-03,80.8,223.1,4,
Zadra (roller coaster),"1,316 m (4,318 ft)",121 km/h (75 mph),Energylandia,Operating,Rocky Mountain Construction,140,2019,50.0019,19.4031,Other,2019-08-22,75.2,206.0,3,4.0
Candymonium,"4,636 ft (1,413 m)",76 mph (122 km/h),Hersheypark,Operating,Bolliger & Mabillard,137,2020,40.2863,-76.659,Steel,2020-07-03,76.0,,0,
F.L.Y. (roller coaster),"4,055.1 ft (1,236.0 m)",48.5 mph (78.1 km/h),Phantasialand,Operating,Vekoma,130,2020,50.7999,6.8792,Steel,,48.5,,2,
Max & Moritz (roller coaster),300 m (980 ft),36 km/h (22 mph),Efteling,Operating,Mack Rides,100,2020,51.6481,5.0474,Steel,2020-06-20,22.4,19.7,0,
Objectif Mars,"1,640.4 ft (500.0 m)",34.2 mph (55.0 km/h),Futuroscope,Operating,Intamin,109,2020,46.6718,0.3703,Steel,2020-06-13,34.2,,0,
Orion (roller coaster),"5,321 ft (1,622 m)",91 mph (146 km/h),Kings Island,Operating,Bolliger & Mabillard,137,2020,39.3427,-84.2627,Steel,2020-07-02,91.0,,0,
Pitts Special (roller coaster),"693 m (2,274 ft)",100 km/h (62 mph),PowerPark,Operating,Gerstlauer,130,2020,63.2307,22.8545,Steel,2020-06-24,62.1,142.7,0,4.5
Sandy's Blasting Bronco,"1,607.6 ft (490.0 m)",47.8 mph (76.9 km/h),Nickelodeon Universe,Operating,Intamin,132,2020,40.8056,-74.071,Steel,2020-10-01,47.8,,4,
Texas Stingray,"3,379 ft (1,030 m)",55 mph (89 km/h),SeaWorld San Antonio,Operating,Great Coasters International,117,2020,29.4524,-98.699,Wood,2020-02-22,55.0,,0,
Wakala (roller coaster),"2,165.4 ft (660.0 m)",31.1 mph (50.1 km/h),Bellewaerde,Operating,Gerstlauer,100,2020,50.849,2.9475,Steel,2020-07-01,31.1,,0,
West Coast Racers,"4,000 ft (1,200 m)",55 mph (89 km/h),Six Flags Magic Mountain,Operating,Premier Rides,137,2020,34.4217,-118.5992,Steel,2020-01-09,55.0,,4,
Abyssus,"4,317.6 ft (1,316.0 m)",62.1 mph (99.9 km/h),Energylandia,Operating,Vekoma,120,2021,49.9992,19.4011,Steel,2021-07-14,62.1,,4,4.5
Dragon Slayer (roller coaster),770 ft (230 m),34 mph (55 km/h),Adventureland (Iowa),Operating,S&S - Sansei Technologies,122,2021,41.651,-93.5024,Steel,2021-05-29,34.0,,0,
Jersey Devil Coaster,"3,000 ft (910 m)",58 mph (93 km/h),Six Flags Great Adventure,Operating,Rocky Mountain Construction,0,2021,40.1377,-74.4405,Steel,2021-06-13,58.0,,3,
Kondaa,"3,937 ft (1,200 m)",70.2 mph (113.0 km/h),Walibi Belgium,Operating,Intamin,130,2021,50.6977,4.585,Steel,2021-05-08,70.2,,0,
Krampus Expédition,"1,968.5 ft (600.0 m)",49 mph (79 km/h),Nigloland,Operating,Mack Rides,110,2021,-48.2617,4.6142,Steel,2021-06-12,49.0,,0,3.5
Looping Star (Clacton Pier),"365 m (1,198 ft)",,Clacton Pier,Operating,Pinfari,132,2021,51.7864,-1.155,Steel,2021-10-23,,36.1,1,
Monster (Gröna Lund),"2,296.6 ft (700.0 m)",55.9 mph (90.0 km/h),Gröna Lund,Operating,Bolliger & Mabillard,140,2021,59.3239,18.0961,Steel,2021-06-02,55.9,,3,4.5
Steel Taipan,"3,937 ft (1,200 m)",65.2 mph (104.9 km/h),Dreamworld,Under construction,Mack Rides,0,2021,-27.8623,153.3152,Steel,2021-01-01,65.2,,4,3.8
Storm Chaser (Paultons Park),,,Paultons Park,Operating,Mack Rides,100,2021,50.949,-1.5505,Steel,2021-04-12,,,0,
Stunt Pilot (roller coaster),"1,800 ft (550 m)",52 mph (84 km/h),Silverwood Theme Park,Operating,Rocky Mountain Construction,122,2021,47.9065,-116.708,Steel,2021-05-29,52.0,,3,
The Ride to Happiness,"3,018.4 ft (920.0 m)",55.9 mph (90.0 km/h),Plopsaland De Panne,Operating,Mack Rides,130,2021,51.081,2.5989,Steel,2021-07-01,55.9,,6,
VelociCoaster,"4,700 ft (1,400 m)",70 mph (110 km/h),Universal's Islands of Adventure,Operating,Intamin,130,2021,28.4713,-81.472,Steel,2021-06-10,70.0,,4,
Aquaman: Power Wave,708.7 ft (216.0 m),62.1 mph (99.9 km/h),Six Flags Over Texas,Under construction,Mack Rides,0,2022,32.756,-97.071,Steel,2022-01-01,62.1,,0,
ArieForce One,"3,400 ft (1,000 m)",64 mph (103 km/h),Fun Spot America Atlanta,Under construction,Rocky Mountain Construction,122,2022,,,Steel,2022-01-01,64.0,,4,3.75
Defiance (roller coaster),,56 mph (90 km/h),Glenwood Caverns Adventure Park,Under construction,Gerstlauer,0,2022,,,Steel,2022-01-01,56.0,,2,
Dr. Diabolical’s Cliffhanger,"2,501 ft (762 m)",60 mph (97 km/h),Six Flags Fiesta Texas,Under construction,Bolliger & Mabillard,132,2022,,,Steel,2022-01-01,60.0,,2,
Emperor (roller coaster),"2,411 ft (735 m)",63 mph (101 km/h),SeaWorld San Diego,Under construction,Bolliger & Mabillard,132,2022,32.764,-117.2224,Steel,2022-03-01,63.0,,4,
Fønix (roller coaster),"2,969.2 ft (905.0 m)",59 mph (95 km/h),Fårup Sommerland,Under construction,Vekoma,120,2022,,,Steel,,59.0,,3,4.1
Guardians of the Galaxy: Cosmic Rewind,"5,577.4 ft (1,700.0 m)",,Epcot,Under construction,Vekoma,0,2022,,,Steel,2022-01-01,,,0,
Ice Breaker (roller coaster),"1,900 ft (580 m)",52 mph (84 km/h),SeaWorld Orlando,Under construction,Premier Rides,0,2022,28.4088,-81.4633,Steel,2022-02-01,52.0,,0,
Leviathan (Sea World),"1,000.0 m (3,280.8 ft)",80.0 km/h (49.7 mph),Sea World,Under construction,Martin & Vleminckx,0,2022,-27.9574,153.4263,Wood,2022-01-01,49.7,105.0,0,
Pantheon (roller coaster),"3,328 ft (1,014 m)",73 mph (117 km/h),Busch Gardens Williamsburg,Under construction,Intamin,0,2022,37.2339,-76.6426,Steel,2022-01-01,73.0,,2,
Tumbili,770 ft (230 m),34 mph (55 km/h),Kings Dominion,Under construction,S&S – Sansei Technologies,0,2022,,,Steel,,34.0,,0,
Wonder Woman Flight of Courage,"3,300 ft (1,000 m)",58 mph (93 km/h),Six Flags Magic Mountain,Under construction,Rocky Mountain Construction,0,2022,,,Steel,2022-01-01,58.0,,3,
